"C0300000","ANDERSON LITTLE LEAGUE INCORPORATED","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300001","MCBEAN FAMILY FOUNDATION","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","DISSOLVED","CHARLENE C KLEINER
1200 CENTRAL BLVD STE B
BRENTWOOD CA 94513","1200 CENTRAL BLVD STE B
BRENTWOOD CA 94513","1200 CENTRAL BLVD STE B
BRENTWOOD CA 94513"
"C0300002","BOYS' CLUB OF EL CERRITO","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","10890 SAN PABLO AVE
EL CERRITO CA 94530"
"C0300003","COLONIAL HEIGHTS RECREATION ASSOCIATION","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300004","UNION CITY MERCHANTS AND BUSINESSMAN'S ASSOCIATION","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300006","EASTER SEAL SOCIETY OF CONTRA COSTA/ SOLANO/NAPA COUNTIES","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","MERGED OUT","JACQUELINE M PEEL
2645 PLEASANT HILL RD
PLEASANT HILL CA 94523","2645 PLEASANT HILL RD
PLEASANT HILL CA 94523","2645 PLEASANT HILL RD
PLEASANT HILL CA 94523"
"C0300007","EMMANUEL SOUTHERN BAPTIST CHURCH OF MOUNTAIN VIEW, CALIFORNIA","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300008","ERMANDADE DE NOSSA SENHORA DO ROSARIO DE FATIMA--DE MODESTO","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300009","FIRST CHRISTIAN CHURCH OF SUN VALLEY CALIF INC","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","SOS SUSPENDED","ESTALE GARCIA
11515 DELANO ST
NORTH HOLLYWOD CA 91606","11311 SATICOY ST
SUN VALLEY CA 91352","11311 SATICOY ST
SUN VALLEY CA 91352"
"C0300010","HUNTINGTON PARK MASONIC BUILDING ASSOCIATION","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","DISSOLVED","CLAUDE G CARROLL
2721 HOPE ST
HUNTINGTON PARK CA 90255","8244 THIRD ST
DOWNEY CA 90241","PO BOX 333
HUNTINGTON PARK CA 90255"
"C0300011","MONTCLAIR RECREATION CENTER COMMITTEE","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300012","THE MOTHERS' CLUB OF THE KIMBALL SCHOOL","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300013","PLEASANT HILL COUNCIL OF CAMP FIRE GIRLS","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300014","ROAD ANGEL","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300015","SAN BERNARDINO COUNTY SHERIFF'S MOUNTED POSSE","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","ACTIVE","DONNA MARIE JONES
34906 AVENUE G
YUCAIPA CA 92399","34906 AVENUE G
YUCAIPA CA 92399","34906 AVENUE G
YUCAIPA CA 92399"
"C0300016","SONOMA COUNTY SHELTERED WORKSHOP, INC.","03/18/1955","CALIFORNIA","DOMESTIC NONPROFIT","FTB SUSPENDED","*","*","*"
"C0300017","UNITED CEREBRAL PALSY OF GREATER SACRAMENTO, INC.","03/21/1955","CALIFORNIA","DOMESTIC NONPROFIT","ACTIVE","DOUG BERGMAN
4350 AUBURN BLVD
SACRAMENTO CA 95841","4350 AUBURN BLVD
SACRAMENTO CA 95841","4350 AUBURN BLVD
SACRAMENTO CA 95841"
"C0300018","UNITED VETERANS SERVICES","03/21/1955","CALIFORNIA","DOMESTIC NONPROFIT","ACTIVE","LESLIE BUCHMAN
961 SWAN ST
FOSTER CITY CA 94404","961 SWAN ST
FOSTER CITY CA 94404","961 SWAN ST
FOSTER CITY CA 94404"
"C0300019","CAL-STATE COLLECTIONS, INC.","03/21/1955","CALIFORNIA","DOMESTIC STOCK","DISSOLVED","*","*","*"
